Linting Errors Summary:
E:\hackathon\theo-code\src\features\auth\config-serializer.ts: 6 errors
E:\hackathon\theo-code\src\features\auth\display-utilities.ts: 20 errors
E:\hackathon\theo-code\src\features\auth\error-recovery.ts: 60 errors
E:\hackathon\theo-code\src\features\auth\oauth-manager.ts: 23 errors
E:\hackathon\theo-code\src\features\auth\pkce-generator.ts: 1 errors
E:\hackathon\theo-code\src\features\auth\providers\anthropic-oauth.ts: 2 errors
E:\hackathon\theo-code\src\features\auth\providers\google-oauth.ts: 16 errors
E:\hackathon\theo-code\src\features\auth\providers\openai-oauth.ts: 2 errors
E:\hackathon\theo-code\src\features\auth\providers\openrouter-oauth.ts: 19 errors
E:\hackathon\theo-code\src\features\auth\resource-cleanup.ts: 19 errors
E:\hackathon\theo-code\src\features\auth\token-store.ts: 4 errors
E:\hackathon\theo-code\src\features\auth\types.ts: 4 errors
E:\hackathon\theo-code\src\features\auth\user-guidance.ts: 30 errors
E:\hackathon\theo-code\src\features\commands\__tests__\auth.test.ts: 4 errors
E:\hackathon\theo-code\src\features\commands\__tests__\configuration-flexibility.property.test.ts: 7 errors
E:\hackathon\theo-code\src\features\commands\__tests__\provider.test.ts: 16 errors
E:\hackathon\theo-code\src\features\commands\__tests__\resume.test.ts: 9 errors
E:\hackathon\theo-code\src\features\commands\__tests__\sessions.test.ts: 6 errors
E:\hackathon\theo-code\src\features\commands\__tests__\storage-limit-notification.property.test.ts: 7 errors
E:\hackathon\theo-code\src\features\commands\handlers\auth.ts: 73 errors
E:\hackathon\theo-code\src\features\commands\handlers\provider.ts: 42 errors
E:\hackathon\theo-code\src\features\commands\handlers\resume.ts: 15 errors
E:\hackathon\theo-code\src\features\commands\handlers\sessions.ts: 93 errors
E:\hackathon\theo-code\src\features\commands\registry.ts: 3 errors
E:\hackathon\theo-code\src\features\commands\types.ts: 2 errors
E:\hackathon\theo-code\src\features\commands\utils\formatting.ts: 14 errors
E:\hackathon\theo-code\src\features\config\__tests__\documentation-examples.integration.test.ts: 8 errors
E:\hackathon\theo-code\src\features\model\__tests__\authentication-validation.property.test.ts: 2 errors
E:\hackathon\theo-code\src\features\model\__tests__\cache.test.ts: 2 errors
E:\hackathon\theo-code\src\features\model\__tests__\configuration-validation.property.test.ts: 3 errors
E:\hackathon\theo-code\src\features\model\__tests__\connection-pool.test.ts: 3 errors
E:\hackathon\theo-code\src\features\model\__tests__\documentation-integration.test.ts: 2 errors
E:\hackathon\theo-code\src\features\model\__tests__\error-handling.test.ts: 5 errors
E:\hackathon\theo-code\src\features\model\__tests__\fallback-provider-selection.property.test.ts: 18 errors
E:\hackathon\theo-code\src\features\model\__tests__\http-client.test.ts: 21 errors
E:\hackathon\theo-code\src\features\model\__tests__\migration-procedures.integration.test.ts: 10 errors
E:\hackathon\theo-code\src\features\model\__tests__\performance.test.ts: 28 errors
E:\hackathon\theo-code\src\features\model\__tests__\provider-setup.integration.test.ts: 5 errors
E:\hackathon\theo-code\src\features\model\__tests__\rate-limit-compliance.property.test.ts: 52 errors
E:\hackathon\theo-code\src\features\model\__tests__\request-queue.test.ts: 5 errors
E:\hackathon\theo-code\src\features\model\__tests__\response-standardization.property.test.ts: 46 errors
E:\hackathon\theo-code\src\features\model\__tests__\setup-guide-integration.test.ts: 16 errors
E:\hackathon\theo-code\src\features\model\adapters\__tests__\anthropic-error-mapping.property.test.ts: 1 errors
E:\hackathon\theo-code\src\features\model\adapters\__tests__\anthropic-tool-conversion.property.test.ts: 7 errors
E:\hackathon\theo-code\src\features\model\adapters\__tests__\google-error-mapping.property.test.ts: 7 errors
E:\hackathon\theo-code\src\features\model\adapters\__tests__\google-thinking-levels.property.test.ts: 2 errors
E:\hackathon\theo-code\src\features\model\adapters\__tests__\google-tool-conversion.property.test.ts: 7 errors
E:\hackathon\theo-code\src\features\model\adapters\__tests__\openrouter-model-catalog.property.test.ts: 11 errors
E:\hackathon\theo-code\src\features\model\adapters\__tests__\openrouter.test.ts: 12 errors
E:\hackathon\theo-code\src\features\model\adapters\__tests__\provider-interface-consistency.property.test.ts: 3 errors
E:\hackathon\theo-code\src\features\model\adapters\__tests__\token-counting-accuracy.property.test.ts: 1 errors
E:\hackathon\theo-code\src\features\model\adapters\anthropic.ts: 14 errors
E:\hackathon\theo-code\src\features\model\adapters\cohere.ts: 22 errors
E:\hackathon\theo-code\src\features\model\adapters\google.ts: 169 errors
E:\hackathon\theo-code\src\features\model\adapters\mistral.ts: 22 errors
E:\hackathon\theo-code\src\features\model\adapters\ollama.ts: 23 errors
E:\hackathon\theo-code\src\features\model\adapters\openrouter.ts: 16 errors
E:\hackathon\theo-code\src\features\model\adapters\perplexity.ts: 18 errors
E:\hackathon\theo-code\src\features\model\adapters\together.ts: 18 errors
E:\hackathon\theo-code\src\features\model\cache.ts: 13 errors
E:\hackathon\theo-code\src\features\model\circuit-breaker.ts: 2 errors
E:\hackathon\theo-code\src\features\model\connection-pool.ts: 11 errors
E:\hackathon\theo-code\src\features\model\error-handling.ts: 4 errors
E:\hackathon\theo-code\src\features\model\http-client.ts: 26 errors
E:\hackathon\theo-code\src\features\model\performance-monitor.ts: 18 errors
E:\hackathon\theo-code\src\features\model\provider-manager.ts: 28 errors
E:\hackathon\theo-code\src\features\model\request-queue.ts: 16 errors
E:\hackathon\theo-code\src\features\model\response-format.ts: 101 errors
E:\hackathon\theo-code\src\features\model\response-formatter.ts: 184 errors
E:\hackathon\theo-code\src\features\model\retry-logic.ts: 11 errors
E:\hackathon\theo-code\src\features\model\validation.ts: 27 errors
E:\hackathon\theo-code\src\features\session\__tests__\audit-logging.test.ts: 7 errors
E:\hackathon\theo-code\src\features\session\__tests__\error-recovery-failure-tracking.property.test.ts: 38 errors
E:\hackathon\theo-code\src\features\session\__tests__\error-recovery-retry-limit.property.test.ts: 35 errors
E:\hackathon\theo-code\src\features\session\__tests__\export-format.property.test.ts: 5 errors
E:\hackathon\theo-code\src\features\session\__tests__\file-permissions.test.ts: 3 errors
E:\hackathon\theo-code\src\features\session\__tests__\filesystem.property.test.ts: 4 errors
E:\hackathon\theo-code\src\features\session\__tests__\filesystem.test.ts: 9 errors
E:\hackathon\theo-code\src\features\session\__tests__\import-uniqueness.property.test.ts: 1 errors
E:\hackathon\theo-code\src\features\session\__tests__\import-validation.property.test.ts: 4 errors
E:\hackathon\theo-code\src\features\session\__tests__\import.test.ts: 3 errors
E:\hackathon\theo-code\src\features\session\__tests__\manager.property.test.ts: 22 errors
E:\hackathon\theo-code\src\features\session\__tests__\manager.test.ts: 4 errors
E:\hackathon\theo-code\src\features\session\__tests__\migration-compatibility.property.test.ts: 20 errors
E:\hackathon\theo-code\src\features\session\__tests__\migration-errors.test.ts: 11 errors
E:\hackathon\theo-code\src\features\session\__tests__\migration.property.test.ts: 14 errors
E:\hackathon\theo-code\src\features\session\__tests__\monitoring.test.ts: 25 errors
E:\hackathon\theo-code\src\features\session\__tests__\performance.test.ts: 7 errors
E:\hackathon\theo-code\src\features\session\__tests__\restoration-failure-recovery.property.test.ts: 8 errors
E:\hackathon\theo-code\src\features\session\__tests__\safe-session-detection.property.test.ts: 4 errors
E:\hackathon\theo-code\src\features\session\__tests__\sensitive-data-exclusion.property.test.ts: 9 errors
E:\hackathon\theo-code\src\features\session\__tests__\sharing-integrity.property.test.ts: 6 errors
E:\hackathon\theo-code\src\features\session\__tests__\startup-integration.test.ts: 2 errors
E:\hackathon\theo-code\src\features\session\__tests__\startup.test.ts: 4 errors
E:\hackathon\theo-code\src\features\session\__tests__\storage-backup.property.test.ts: 1 errors
E:\hackathon\theo-code\src\features\session\__tests__\storage-index.property.test.ts: 16 errors
E:\hackathon\theo-code\src\features\session\__tests__\storage.test.ts: 2 errors
E:\hackathon\theo-code\src\features\session\__tests__\validation.property.test.ts: 21 errors
E:\hackathon\theo-code\src\features\session\audit.ts: 10 errors
E:\hackathon\theo-code\src\features\session\enhanced-manager.ts: 13 errors
E:\hackathon\theo-code\src\features\session\error-recovery.ts: 3 errors
E:\hackathon\theo-code\src\features\session\filesystem.ts: 20 errors
E:\hackathon\theo-code\src\features\session\manager.ts: 115 errors
E:\hackathon\theo-code\src\features\session\migration.ts: 72 errors
E:\hackathon\theo-code\src\features\session\monitoring-service.ts: 13 errors
E:\hackathon\theo-code\src\features\session\monitoring.ts: 10 errors
E:\hackathon\theo-code\src\features\session\performance.ts: 10 errors
E:\hackathon\theo-code\src\features\session\security.ts: 24 errors
E:\hackathon\theo-code\src\features\session\startup.ts: 7 errors
E:\hackathon\theo-code\src\features\session\storage.ts: 26 errors
E:\hackathon\theo-code\src\features\session\validation.ts: 31 errors
E:\hackathon\theo-code\src\features\tools\ast-grep\__tests__\index.test.ts: 3 errors
E:\hackathon\theo-code\src\features\tools\ast-grep\index.ts: 5 errors
E:\hackathon\theo-code\src\features\tools\git\__tests__\index.test.ts: 14 errors
E:\hackathon\theo-code\src\features\tools\git\index.ts: 37 errors
E:\hackathon\theo-code\src\features\tools\lsp\__tests__\index.test.ts: 8 errors
E:\hackathon\theo-code\src\features\tools\lsp\index.ts: 16 errors
E:\hackathon\theo-code\src\shared\components\Layout\ConnectedProjectHeader.tsx: 3 errors
E:\hackathon\theo-code\src\shared\components\Layout\ConnectedStatusFooter.tsx: 7 errors
E:\hackathon\theo-code\src\shared\components\Layout\ConnectedTaskSidebar.tsx: 9 errors
E:\hackathon\theo-code\src\shared\components\Layout\ContextArea.tsx: 4 errors
E:\hackathon\theo-code\src\shared\components\Layout\ErrorBoundary.tsx: 11 errors
E:\hackathon\theo-code\src\shared\components\Layout\FullScreenLayout.tsx: 4 errors
E:\hackathon\theo-code\src\shared\components\Layout\MessageColorCoding.tsx: 8 errors
E:\hackathon\theo-code\src\shared\components\Layout\MessageList.tsx: 21 errors
E:\hackathon\theo-code\src\shared\components\Layout\PerformanceMonitor.tsx: 5 errors
E:\hackathon\theo-code\src\shared\components\Layout\ProjectHeader.tsx: 2 errors
E:\hackathon\theo-code\src\shared\components\Layout\ResizableDivider.tsx: 8 errors
E:\hackathon\theo-code\src\shared\components\Layout\ResponsiveLayoutContent.tsx: 5 errors
E:\hackathon\theo-code\src\shared\components\Layout\ScrollIndicator.tsx: 4 errors
E:\hackathon\theo-code\src\shared\components\Layout\TaskSidebar.tsx: 8 errors
E:\hackathon\theo-code\src\shared\components\Layout\__tests__\ConnectedProjectHeader.test.tsx: 4 errors
E:\hackathon\theo-code\src\shared\components\Layout\__tests__\ConnectedStatusFooter.test.tsx: 6 errors
E:\hackathon\theo-code\src\shared\components\Layout\__tests__\FullScreenLayout.test.tsx: 1 errors
E:\hackathon\theo-code\src\shared\components\Layout\__tests__\ProjectHeader.test.tsx: 2 errors
E:\hackathon\theo-code\src\shared\components\Layout\__tests__\StatusFooter.test.tsx: 3 errors
E:\hackathon\theo-code\src\shared\components\Layout\__tests__\minimal-integration.test.tsx: 1 errors
E:\hackathon\theo-code\src\shared\components\Layout\__tests__\ui-integration.test.tsx: 4 errors
E:\hackathon\theo-code\src\shared\components\Layout\__tests__\ui-upgrade-edge-cases.test.tsx: 13 errors
E:\hackathon\theo-code\src\shared\components\Layout\__tests__\ui-upgrade-integration.test.tsx: 2 errors
E:\hackathon\theo-code\src\shared\components\Layout\__tests__\ui-upgrade-workflow-integration.test.tsx: 6 errors
E:\hackathon\theo-code\src\shared\components\Layout\error-handling.ts: 8 errors
E:\hackathon\theo-code\src\shared\components\Layout\performance-optimizations.ts: 11 errors
E:\hackathon\theo-code\src\shared\components\Layout\utils.ts: 3 errors
E:\hackathon\theo-code\src\shared\components\ProviderSelection\index.tsx: 13 errors
E:\hackathon\theo-code\src\shared\components\SessionRestoration\index.tsx: 2 errors
E:\hackathon\theo-code\src\shared\hooks\useArchonMCP.ts: 16 errors
E:\hackathon\theo-code\src\shared\services\archon-mcp-client.ts: 7 errors
E:\hackathon\theo-code\src\shared\store\__tests__\store-persistence.property.test.ts: 4 errors
E:\hackathon\theo-code\src\shared\store\index.ts: 7 errors
E:\hackathon\theo-code\src\shared\store\session-integration.ts: 19 errors
E:\hackathon\theo-code\src\shared\store\ui-layout.ts: 5 errors
E:\hackathon\theo-code\src\shared\types\__tests__\session-persistence.test.ts: 5 errors
E:\hackathon\theo-code\src\shared\types\tools.ts: 4 errors

=======================
Total Files with Errors: 196
Total Errors/Warnings: 2869
